ID,Name,Concepticon_ID,Concepticon_Gloss,IndexInSource,Papuan_Malay_Gloss
1_one,one,1493,ONE,1-0,satu
2_two,two,1498,TWO,2-0,dua
3_three,three,492,THREE,3-0,tiga
4_four,four,1500,FOUR,4-0,empat
5_five,five,493,FIVE,5-0,lima
6_six,six,1703,SIX,6-0,enam
7_seven,seven,1704,SEVEN,7-0,tujuh
8_eight,eight,1705,EIGHT,8-0,delapan
9_nine,nine,1483,NINE,9-0,sembilan
10_ten,ten,1515,TEN,10-0,sepuluh
11_twenty,twenty,1710,TWENTY,11-0,duapuluh
12_fifty,fifty,1717,FIFTY,15-0,limapuluh
13_onehundred,one hundred,1634,HUNDRED,20-0,seratus
14_onethousand,one thousand,1843,THOUSAND,21-0,seribu
15_year,year,1226,YEAR,51-0,tahun
16_right,right,1019,RIGHT,81-0,kanan
17_left,left,244,LEFT,82-0,kiri
18_i,I,1209,I,101-0,sa
19_weallexcl,"we  (all, EXcl.)",1130,WE (EXCLUSIVE),102-0,kitong
20_webothincl,"we  (both, INcl.)",2637,WE TWO (INCLUSIVE),102-1,
21_webothexcl,"we  (both, EXcl.)",2636,WE TWO (EXCLUSIVE),102-2,
22_weallincl,"we  (all, INcl.)",1131,WE (INCLUSIVE),102-3,kitong
23_thou,thou,1215,THOU,104-0,ko
24_youboth,you  (both),2111,YOU TWO,105-0,kam
25_youall,you  (all),1213,YOU,105-2,kam
26_heshe,he/she,2642,HE OR SHE,106-0,de/dia
27_theyall,they  (all),817,THEY,107-0,dong
28_theyboth,they  (both),2635,THEY TWO,107-2,
29_nonot,"no, not",2279,NO OR NOT,112-0,"tidak, bukan"
30_what,what,1236,WHAT,121-0,apa
31_who,who,1235,WHO,122-0,siapa
32_where,where,1237,WHERE,123-0,di mana
33_when,when,1238,WHEN,124-0,kapan
34_how,how,1239,HOW,125-0,bagaimana
35_this,this,1214,THIS,131-0,ini
36_that,that,78,THAT,132-0,itu
37_and,and,1577,AND,134-0,dan
38_above,above,1741,ABOVE,138-0,di atas
39_below,below,1485,BELOW OR UNDER,139-0,di bawah
40_ininside,"in, inside",1460,IN,141-0,di dalam
41_at,at,1461,AT,148-0,di
42_if,if,1459,IF,171-0,kalau
43_head,head,1256,HEAD,201-0,kepala
44_hair,hair,1040,HAIR,205-0,rambut
45_eye,eye,1248,EYE,211-0,mata
46_nose,nose,1221,NOSE,212-0,hidung
47_ear,ear,1247,EAR,213-0,telinga
48_mouth,mouth,674,MOUTH,221-0,mulut
49_tongue,tongue,1205,TONGUE,223-0,lidah
50_tooth,tooth,1380,TOOTH,224-0,gigi
51_hand,hand,1277,HAND,231-0,tangan
52_shoulder,shoulder,1482,SHOULDER,233-0,bahu
53_neck,neck,1333,NECK,241-0,leher
54_back,back,1291,BACK,242-0,belakang (badan)
55_leg,leg,2098,FOOT OR LEG,252-0,kaki
56_blood,blood,946,BLOOD,261-0,darah
57_bone,bone,1394,BONE,262-0,tulang
58_skin,skin,763,SKIN,263-0,kulit
59_belly,belly,1251,BELLY,271-0,perut
60_intestines,intestines,1991,INTESTINES,272-0,usus
61_breast,breast,1402,BREAST,274-0,"payudara, susu"
62_liver,liver,1224,LIVER,284-0,hati
63_dog,dog,2009,DOG,312-0,anjing
64_bird,bird,937,BIRD,321-0,burung
65_fish,fish,227,FISH,324-0,ikan
66_snake,snake,730,SNAKE,341-0,ular
67_worm,worm,1219,WORM,342-0,cacing
68_louse,louse,1392,LOUSE,343-0,kutu
69_rat,rat,1490,RAT,345-0,tikus
70_spider,spider,843,SPIDER,349-0,laba-laba
71_mosquito,mosquito,1509,MOSQUITO,352-0,nyamuk
72_egg,egg,744,EGG,381-0,telur
73_tail,tail,1220,TAIL,383-0,ekor
74_wing,wing,1257,WING,384-0,sayap
75_feather,feather,1201,FEATHER,385-0,bulu
76_person,person,683,PERSON,401-0,manusia
77_man,man,2106,MALE PERSON,402-0,laki-laki
78_woman,woman,2105,FEMALE PERSON,403-0,perempuan
79_child,child,2099,CHILD,405-0,anak
80_name,name,1405,NAME,410-0,nama
81_mother,mother,1216,MOTHER,431-0,mama
82_father,father,1217,FATHER,432-0,bapa
83_husband,husband,1200,HUSBAND,435-0,suami
84_wife,wife,1199,WIFE,436-0,istri
85_day,day,1225,DAY (NOT NIGHT),501-0,siang
86_night,night,1233,NIGHT,502-0,malam
87_moon,moon,1313,MOON,512-0,bulan
88_star,star,1430,STAR,513-0,bintang
89_sky,sky,1732,SKY,515-0,langit
90_water,water,948,WATER,521-0,air
91_lake,lake,624,LAKE,523-0,danau
92_sea,sea,1474,SEA,524-0,laut
93_fire,fire,221,FIRE,541-0,api
94_smoke,smoke,778,SMOKE (EXHAUST),542-0,asap
95_ash,ash,646,ASH,543-0,abu
96_stone,stone,857,STONE,551-0,batu
97_earthsoil,"earth, soil",1228,EARTH (SOIL),552-0,tanah
98_dust,dust,2,DUST,553-0,"debu, abu"
99_sand,sand,671,SAND,554-0,pasir
100_rain,rain,658,RAIN (PRECIPITATION),581-0,hujan
101_cloud,cloud,1489,CLOUD,584-0,awan
102_wind,wind,960,WIND,585-0,angin
103_fog,fog,249,FOG,586-0,kabut
104_thunder,thunder,1150,THUNDER,592-0,guntur
105_lightning,lightning,1654,LIGHTNING,593-0,kilat
106_meatflesh,"meat, flesh",2615,FLESH OR MEAT,603-0,daging
107_salt,salt,1274,SALT,604-0,garam
108_fatgrease,"fat, grease",323,FAT (ORGANIC SUBSTANCE),606-0,lemak
109_fruit,fruit,1507,FRUIT,609-0,buah
110_woodsforest,"woods, forest",420,FOREST,622-0,daging
111_root,root,670,ROOT,624-0,akar
112_branch,branch,1531,BRANCH,625-0,cabang
113_leaf,leaf,628,LEAF,626-0,daun
114_wood,wood,1295,STICK,628-0,kayu
115_grass,grass,606,GRASS,631-0,rumput
116_flower,flower,239,FLOWER,632-0,bunga
117_thatchroof,"thatch, roof",2100,THATCH OR ROOF,633-0,atap
118_house,house,1252,HOUSE,651-0,rumah
119_rope,rope,1218,ROPE,662-0,tali
120_needle,needle,1382,NEEDLE (FOR SEWING),663-0,jarum
121_roadpath,"road, path",2457,PATH OR ROAD,681-0,jalan
122_black,black,163,BLACK,701-0,hitam
123_white,white,1335,WHITE,702-0,putih
124_red,red,156,RED,703-0,merah
125_green,green,1425,GREEN,704-0,hijau
126_yellow,yellow,1424,YELLOW,705-0,kuning
127_big,big,1202,BIG,711-0,besar
128_small,small,1246,SMALL,717-0,kecil
129_long,long,1203,LONG,721-0,panjang
130_short,short,1645,SHORT,722-0,pendek
131_thick,thick,1244,THICK,735-0,tebal
132_thin,thin,2308,THIN,736-0,tipis
133_narrow,narrow,1267,NARROW,737-0,sempit
134_wide,wide,1243,WIDE,738-0,luas
135_sharp,sharp,1396,SHARP,741-0,tajam
136_bluntdull,"blunt, dull",379,BLUNT,742-0,tumpul
137_shyashamed,"shy, ashamed",487,SHY,749-0,malu
138_old,old,1229,OLD,752-0,tua
139_painfulsick,"painful, sick",2103,PAINFUL OR SICK,763-0,sakit
140_good,good,1035,GOOD,771-0,baik
141_bad,bad,1292,BAD,772-0,jahat
142_correcttrue,"correct, true",1725,CORRECT (RIGHT),773-0,benar
143_dirty,dirty,1230,DIRTY,777-0,kotor
144_rotten,rotten,1728,ROTTEN,780-0,busuk
145_all,all,98,ALL,782-0,semua
146_heavy,heavy,1210,HEAVY,786-0,berat
147_far,far,1406,FAR,788-0,jauh
148_near,near,1942,NEAR,789-0,dekat
149_warm,warm,1232,WARM,791-0,hangat
150_cold,cold,1287,COLD,792-0,dingin
151_dry,dry,1398,DRY,793-0,kering
152_wet,wet,1726,WET,794-0,basah
153_new,new,1231,NEW,798-0,baru
154_other,other,197,OTHER,799-0,lain
155_come,come,1446,COME,802-0,datang
156_walk,walk,1443,WALK,803-0,berjalan
157_grow,grow,479,GROW,809-0,tumbuh
158_stand,stand,1442,STAND,811-0,berdiri
159_sit,sit,1416,SIT,812-0,duduk
160_fall,fall,1280,FALL,813-0,jatuh
161_liedown,lie down,215,LIE DOWN,814-0,baring
162_turn,turn,1588,TURN,815-0,"belok, balik"
163_climb,climb,1102,CLIMB,818-0,panjat
164_swim,swim,1439,SWIM,821-0,berenang
165_flyverb,fly (verb),1441,FLY (MOVE THROUGH AIR),822-0,terbang
166_throw,throw,1456,THROW,826-0,lempar
167_hide,hide,602,HIDE (CONCEAL),827-0,sembunyi
168_chew,chew,321,CHEW,829-0,mengunyah
169_eat,eat,1336,EAT,831-0,makan
170_drink,drink,1401,DRINK,832-0,minum
171_bite,bite,1403,BITE,833-0,gigit
172_suck,suck,1421,SUCK,834-0,isap
173_yawn,yawn,1028,YAWN,836-0,menguap
174_spit,spit,1440,SPIT,837-0,meludah
175_dream,dream,1920,DREAM (SOMETHING),840-0,mimpi
176_sleep,sleep,1585,SLEEP,841-0,tidur
177_live,live,1422,BE ALIVE,842-0,hidup
178_die,die,2101,BE DEAD OR DIE,843-0,meninggal
179_kill,kill,1417,KILL,844-0,bunuh
180_see,see,1409,SEE,851-0,lihat
181_hear,hear,1408,HEAR,852-0,dengar
182_sniffsmell,"sniff, smell",1586,SMELL (PERCEIVE),854-0,mencium
183_know,know,1410,KNOW (SOMETHING),855-0,"tahu, mengerti"
184_think,think,2271,THINK,856-0,pikir
185_laugh,laugh,1355,LAUGH,858-0,tertawa
186_cry,cry,1839,CRY,859-0,menangis
187_blow,blow,175,BLOW (OF WIND),867-0,tiup
188_burn,burn,2102,BURN,868-0,bakar
189_flow,flow,2003,FLOW,869-0,mengalir
190_sew,sew,1457,SEW,874-0,jahit
191_pound,pound,354,POUND,880-0,tumbuk
192_hit,hit,1433,HIT,881-0,pukul
193_cut,cut,1432,CUT,887-0,potong
194_split,split,1437,SPLIT,888-0,bagi ... membagi 
195_dig,dig,1418,DIG,889-0,gali
196_hunt,hunt,1435,HUNT,892-0,berburu
197_hold,hold,1448,HOLD,893-0,pegang
198_fear,fear,1419,FEAR (BE AFRAID),895-0,takut
199_count,count,1420,COUNT,896-0,hitung
200_breathe,breathe,1407,BREATHE,897-0,bernafas
201_vomit,vomit,1278,VOMIT,900-0,muntah
202_tieup,tie (up),1094,FASTEN,901-0,ikat
203_squeeze,squeeze,1414,SQUEEZE,902-0,"peras, ramas"
204_swell,swell,1573,SWELL,903-0,bengkak
205_say,say,1458,SAY,904-0,bilang
206_scratch,scratch,1436,SCRATCH,905-0,garuk
207_stab,stab,1434,STAB,906-0,tikam
208_buy,buy,1869,BUY,912-0,beli
209_steal,steal,713,STEAL,913-0,curi
210_choose,choose,1750,CHOOSE,915-0,pilih
211_plant,plant,1486,PLANT (SOMETHING),918-0,tanam
212_cook,cook,1100,COOK (SOMETHING),922-0,masak
213_shoot,shoot,1172,SHOOT,940-0,tembak
214_work,work,1086,WORK (ACTIVITY),950-0,kerja
215_open,open,1156,OPEN,962-0,tumbuk
